"error" "RP" "HH" "GK" "EE" "AP" "PL" "LP" "FL" "TP" "AA" "IK" "LT" "NP" "RA" "NA." "DA" "CA" "EA" "QA" "GA"
0.626888018973055 0 0 0 0 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0 0 0 0
0.895312332254651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.502765817979467 0 0 0 0.0714285714285714 0.0357142857142857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.355489771878633 0 0 0 0 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0
0.36055936399513 0 0 0 0 0 0 0 0 0 0.0909090909090909 0 0 0 0 0 0.0454545454545455 0 0 0.0454545454545455 0
0.604851930656807 0 0 0 0 0 0 0 0 0 0.125 0 0 0 0 0 0 0 0 0.0625 0
0.47075035270186 0.0714285714285714 0 0 0 0 0.0714285714285714 0 0 0 0.142857142857143 0 0 0 0 0 0 0 0.0714285714285714 0 0
0.338647071844169 0 0 0 0.0909090909090909 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.321478629187524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.318734014111947 0 0 0 0 0.0208333333333333 0 0.0208333333333333 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0
0.344332510676292 0 0 0 0 0 0 0 0 0 0 0 0.0909090909090909 0 0 0 0 0 0 0 0
0.356665023911218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.302305565074634 0 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 0.0625 0.0625 0 0
0.293402288540232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0476190476190476 0 0 0.0476190476190476 0 0
0.274052365263781 0 0 0 0.0434782608695652 0 0 0 0 0 0.0434782608695652 0 0 0 0 0 0 0 0 0 0
0.278152044359227 0 0 0.0833333333333333 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0
0.248512693872337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0
0.286883658069602 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0 0
0.297665845355202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.247869764809458 0 0 0 0 0 0 0 0 0 0.0476190476190476 0 0 0 0 0 0 0.0952380952380952 0 0 0
0.263859090149929 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0.0833333333333333 0
0.236188871060216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.273788031219709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.310549287224467 0 0 0 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0 0 0 0
