"error" "Schneider.lag1" "Schneider.lag2" "Schneider.lag3" "Schneider.lag4" "Schneider.lag5" "Grantham.lag1" "Grantham.lag2" "Grantham.lag3" "Grantham.lag4" "Grantham.lag5"
0.626888018973055 3.969449 3.411851 2.754205 3.328448 2.96083 166335 139159 105249 121315 111396
0.895312332254651 2.704039 2.417089 2.332181 2.523495 0.149725 61631 51093 31940 50529 20852
0.502765817979467 6.374647 6.028494 6.560107 4.370247 6.278996 68231 76131 91981 83355 112134
0.355489771878633 0.592101 0.39442 0.148938 0.346788 0.160742 39099 28679 10170 20615 10413
0.36055936399513 7.661237 5.502942 7.354655 5.018906 6.128446 154033 170272 145231 125532 155092
0.604851930656807 3.490237 4.106839 4.0386 4.025188 3.706969 84094 111243 103899 97838 68361
0.47075035270186 4.142696 3.031303 3.794472 3.569645 3.364338 138296 98778 110933 109894 83357
0.338647071844169 1.805001 2.627735 3.231793 3.013668 3.181996 87789 96438 105112 96450 99619
0.321478629187524 5.292303 3.039244 3.149921 2.207971 1.97071 172427 47363 108750 75066 39042
0.318734014111947 13.481712 13.010049 15.718286 12.544566 16.184454 416370 362332 460294 376957 428033
0.344332510676292 2.977813 3.266422 2.020169 3.218175 2.471579 157425 132357 88963 135337 84394
0.356665023911218 7.360319 3.652722 6.801002 5.254078 5.639474 259237 177900 208774 180718 119197
0.302305565074634 4.230457 6.651859 5.773666 4.365803 3.96137 223876 242096 181518 114549 141197
0.293402288540232 4.584602 3.954612 3.688129 3.366264 3.518257 188918 196704 121846 149098 170537
0.274052365263781 7.705126 10.392324 7.078541 7.005015 8.820033 224559 286351 185091 216354 273366
0.278152044359227 5.415231 4.652801 3.118095 3.794534 3.304595 198656 160675 123404 140695 118466
0.248512693872337 5.160282 4.831921 3.470978 2.735564 2.99817 127825 120453 60151 54301 88106
0.286883658069602 4.791553 5.441687 3.988775 3.4278 2.422844 116295 109568 79922 72661 48269
0.297665845355202 7.663381 7.612767 7.527352 6.028713 6.195589 164889 174736 145706 146472 160717
0.247869764809458 5.175694 4.337099 4.323632 3.457296 3.699659 347831 456481 334067 246738 295124
0.263859090149929 3.891209 4.159542 3.664588 3.055183 1.786499 120745 124583 90354 64070 66723
0.236188871060216 6.618701 6.848277 5.847366 5.634289 5.559393 243264 217849 140686 151803 151831
0.273788031219709 6.714725 6.710042 6.747428 3.862021 2.467705 161967 175737 163796 96055 74537
0.310549287224467 6.484227 3.804608 6.092029 4.088364 5.488158 113005 126009 148878 109216 137319
0.353116362124214 4.39412 6.138836 4.575441 4.455818 5.203975 82851 120012 128331 114352 88469
0.330845813917499 5.297549 6.04337 3.431382 5.034126 4.383603 141778 168828 92659 129793 121079
0.225156358582349 6.999716 6.618656 5.641572 5.164886 6.334569 185995 208197 175385 139972 194797
0.223726312519416 6.597428 6.608009 5.710871 5.684822 4.959051 193736 200714 191468 148814 167203
0.224118725351865 4.02042 4.805482 4.216989 4.195003 4.41204 129650 157982 114091 104192 110609
0.273610645732612 5.38725 3.351099 4.361903 3.181722 3.60813 164974 97142 143092 101817 106590
0.23273461744467 8.332778 6.957732 4.188614 6.047455 5.885235 174754 182763 83761 114615 119166
0.250134149667045 3.706717 4.397517 4.327303 4.001767 2.689015 95331 90240 80893 87117 53214
0.220324675832206 12.193531 13.099857 10.494658 12.618719 12.187065 369546 450623 380976 360013 354158
0.301727288361494 3.771966 2.60354 2.267307 2.202955 2.661444 159061 129081 100220 110068 128896
0.213718380885084 4.680276 4.998964 5.413288 5.131462 5.085903 164943 228695 149425 178819 176453
0.264907800874802 4.919239 5.99538 6.718684 5.010091 4.151871 135409 140141 135994 114708 142957
0.227433190366216 6.702471 6.035583 4.039411 4.55247 5.509434 176250 155096 99316 137713 130902
0.215511940245894 6.735058 7.124877 6.301167 5.776376 4.077098 268238 275650 255789 216903 171387
0.242876652391244 5.972226 4.779166 5.224829 4.745948 5.141313 164560 160186 107832 126156 158005
0.212789279005364 6.95102 7.632095 7.91839 8.440814 6.453212 148056 198691 197505 187099 141148
0.243263469739307 7.747016 7.926815 7.860858 4.608437 8.020162 235780 266585 229529 199915 255296
0.357762878168438 3.639956 3.459107 3.361528 3.049982 2.977814 139299 122189 113882 100016 99681
0.244798168486613 7.823814 7.293472 5.977645 6.279555 4.735023 247940 138672 145367 157283 125823
0.213340980245042 12.293048 12.541344 12.870872 10.937112 8.607743 300099 303764 293508 274575 218810
0.257652776361721 6.303232 6.437319 4.468698 3.300909 3.898701 201524 203656 156383 145356 163624
0.20276978642234 8.065155 6.537321 4.197782 6.501702 4.777747 190735 171102 104892 141628 127780
0.282388945562459 9.17966 9.214673 10.330758 8.419638 9.499649 240135 186822 245542 194836 213281
0.345250861998751 6.854765 5.130241 6.368558 4.535953 4.086953 177838 136796 124568 95197 111480
0.217785267996895 5.509845 4.917736 5.324185 5.756398 5.869546 158214 146286 87277 149812 150042
0.303503365744203 3.032668 2.290817 3.112774 3.088827 3.600183 89152 60713 74239 75592 58013
0.198335144380328 4.606732 3.614198 3.267461 3.104251 2.982117 122673 128541 66486 53646 91964
0.287779245358538 6.78965 7.338966 6.094633 8.005382 8.032706 160688 200010 130452 148012 169684
0.374720192465743 1.950302 2.533982 2.654597 2.294981 2.074322 71945 90752 104426 78665 86433
0.25223618128652 7.866429 9.976311 5.156587 5.461988 5.009728 189611 208767 117620 145056 93783
