@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data
15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.601,0.201,0.134,0.228534
12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.584,0.250,0.166,0.202840
25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.160,0.600,0.200,0.227647
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.273,0.273,0.264983
35,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0.343,0.257,0.315,0.188328
22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0.363,0.180,0.184677
15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0.134,0.401,0.183013
18,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0.112,0.278,0.214948
17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.413,0.353,0.236,0.181114
17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.529,0.294,0.059,0.180558
21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0.096,0.286,0.187193
11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.273,0.364,0.364,0.194545
19,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.421,0.211,0.316,0.176834
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.555,0.411499
19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.316,0.316,0.265,0.247799
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0.201,0.267,0.189894
21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.239,0.238,0.178844
31,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.485,0.129,0.259,0.173574
17,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.529,0.235,0.236,0.204707
14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.571,0.142,0.285,0.171022
19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0.053,0.263,0.171193
33,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0.273,0.393,0.272,0.175776
19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.368,0.159,0.316,0.187052
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.400,0.292519
33,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.394,0.454,0.121,0.169225
15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.601,0.267,0.134,0.220338
12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0.166,0.166,0.179509
15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.267,0.268,0.166731
22,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.363,0.226,0.409,0.229539
12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.583,0.333,0.083,0.166219
19,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.473,0.369,0.106,0.171028
32,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0.405,0.155,0.250,0.195055
23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0.173,0.475,0.197885
20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.200,0.450,0.194003
17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.294,0.235,0.472,0.187377
19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.580,0.106,0.317,0.169109
25,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0.440,0.200,0.280,0.167349
27,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0.222,0.148,0.629,0.193427
11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.182,0.364,0.258934
10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.200,0.300,0.265485
10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.600,0.200,0.200,0.214192
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0.200,0.267,0.162930
18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.446,0.278,0.223,0.169203
18,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.500,0.334,0.167,0.180555
28,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0.107,0.286,0.159261
23,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.434,0.347,0.173,0.168493
14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.428,0.285,0.285,0.160891
18,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.556,0.334,0.112,0.172020
17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.412,0.294,0.294,0.158718
17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0.236,0.412,0.200732
14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.498,0.285,0.213,0.189400
10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.200,0.300,0.165754
22,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0.407,0.227,0.317,0.164683
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.168,0.334,0.180573
