@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data
10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0.100,0.200,0.045222
18,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.445,0.278,0.223,0.059766
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.091,0.364,0.068841
15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.466,0.134,0.334,0.044278
19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0.158,0.317,0.034427
12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.582,0.250,0.167,0.042754
13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.539,0.308,0.154,0.049539
13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.154,0.462,0.076227
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.100,0.400,0.094976
21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.334,0.238,0.287,0.028420
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.333,0.444,0.095033
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.455,0.046957
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.166,0.416,0.045758
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.182,0.455,0.076094
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.308,0.308,0.046416
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0.177,0.413,0.030445
17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.531,0.236,0.177,0.026664
11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.455,0.273,0.273,0.032956
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.267,0.401,0.037212
19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.264,0.211,0.474,0.060748
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.273,0.455,0.080897
22,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.316,0.272,0.362,0.032737
20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.100,0.400,0.035960
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.385,0.308,0.054632
30,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.200,0.266,0.032403
12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.416,0.333,0.166,0.054576
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.083,0.499,0.090618
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.200,0.500,0.051657
14,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.286,0.428,0.213,0.032481
13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.231,0.308,0.385,0.098562
24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.459,0.167,0.291,0.026397
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.222,0.111,0.041678
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.462,0.000,0.045939
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.308,0.154,0.034869
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0.091,0.273,0.038212
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.222,0.222,0.050117
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.182,0.455,0.072976
16,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.437,0.249,0.248,0.027999
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.471,0.294,0.177,0.028693
14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.499,0.357,0.142,0.050478
25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.200,0.320,0.400,0.043591
18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.612,0.223,0.167,0.033980
15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.334,0.267,0.050139
8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.375,0.625,0.000,0.060275
15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0.067,0.401,0.037092
14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0.142,0.427,0.077294
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.100,0.300,0.049798
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.700,0.100,0.200,0.055951
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.091,0.182,0.060671
11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.091,0.637,0.050210
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.182,0.546,0.055419
13,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.385,0.154,0.033088
29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.516,0.068,0.241,0.026322
17,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.529,0.235,0.236,0.030978
17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.589,0.236,0.177,0.033917
14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.213,0.357,0.356,0.081183
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.091,0.455,0.060276
19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.159,0.211,0.041204
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.083,0.333,0.061655
18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0.112,0.611,0.091115
27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.481,0.111,0.259,0.026936
12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.499,0.416,0.083,0.029429
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0.134,0.266,0.053288
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.539,0.308,0.154,0.060566
17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.531,0.177,0.294,0.029868
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.111,0.555,0.053515
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.273,0.273,0.107979
11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.182,0.364,0.455,0.085889
10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.200,0.037567
20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.100,0.400,0.026053
20,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0.150,0.250,0.031246
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.200,0.400,0.081162
15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.267,0.201,0.027994
23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.434,0.130,0.390,0.034057
39,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0.103,0.461,0.032224
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.400,0.200,0.142211
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.083,0.417,0.041911
10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.200,0.400,0.063708
15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.267,0.401,0.054355
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.222,0.222,0.033069
16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0.186,0.312,0.044272
10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.200,0.400,0.400,0.040790
18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.167,0.501,0.044162
13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.385,0.231,0.231,0.061100
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.600,0.121496
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.071,0.356,0.054041
10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.700,0.200,0.100,0.046063
13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.308,0.231,0.385,0.040999
15,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.201,0.267,0.033975
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0.231,0.308,0.050940
14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.142,0.285,0.037930
10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.200,0.400,0.090989
14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.286,0.285,0.355,0.045473
26,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0.421,0.268,0.268,0.027999
36,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.112,0.445,0.034252
14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.570,0.285,0.142,0.046651
15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0.134,0.467,0.086783
20,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.250,0.350,0.200,0.055464
21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.524,0.143,0.334,0.027298
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.295,0.294,0.236,0.051616
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.400,0.057340
20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.450,0.150,0.350,0.030993
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0.166,0.249,0.042288
14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0.142,0.213,0.034349
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.231,0.462,0.057338
21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.144,0.524,0.047415
21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.573,0.096,0.191,0.027688
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.200,0.400,0.300,0.178206
14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.071,0.285,0.039035
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0.067,0.334,0.035360
24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.126,0.167,0.026199
15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.600,0.134,0.200,0.039959
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.166,0.333,0.093752
17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.530,0.118,0.295,0.027071
13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.154,0.385,0.043068
8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.375,0.000,0.036533
13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.308,0.385,0.308,0.039131
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.285,0.356,0.048549
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.273,0.273,0.043142
30,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.399,0.299,0.299,0.029539
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,0.166,0.416,0.063330
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.353,0.177,0.412,0.031471
11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.455,0.273,0.273,0.091838
19,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.475,0.473,0.053,0.047899
28,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0.429,0.250,0.249,0.025985
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.294,0.236,0.294,0.111426
22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.318,0.181,0.362,0.038344
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.182,0.455,0.062263
16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.312,0.312,0.312,0.063403
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.300,0.200,0.091286
11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.091,0.546,0.062125
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.308,0.385,0.231,0.056011
10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.400,0.500,0.100,0.048604
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.364,0.273,0.074511
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.154,0.231,0.053179
11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.091,0.546,0.056467
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0.167,0.446,0.053805
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0.222,0.333,0.093703
33,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0.091,0.303,0.027161
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.400,0.124629
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.125,0.375,0.043659
17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.589,0.236,0.118,0.025800
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.267,0.401,0.092234
16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0.125,0.436,0.065559
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.200,0.200,0.044721
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0.142,0.357,0.109272
12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.583,0.249,0.166,0.035119
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.100,0.300,0.072921
10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.300,0.300,0.108584
19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.368,0.159,0.317,0.044203
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0.231,0.308,0.033485
11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.637,0.182,0.182,0.032923
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.231,0.154,0.035656
15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.267,0.067,0.667,0.046855
12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.582,0.083,0.166,0.037610
23,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.477,0.086,0.390,0.026690
14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.427,0.285,0.285,0.047301
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.166,0.332,0.042043
22,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.453,0.227,0.272,0.034443
15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0.267,0.134,0.029891
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.400,0.200,0.044002
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0.091,0.273,0.049014
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.182,0.273,0.040618
23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.260,0.345,0.025651
25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.320,0.120,0.400,0.084303
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.250,0.000,0.075791
9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.444,0.111,0.080700
10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.400,0.100,0.054423
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.311,0.187,0.311,0.053738
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166,0.583,0.167,0.076994
10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.400,0.300,0.200,0.043400
11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.273,0.273,0.364,0.051359
19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.211,0.579,0.047717
16,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.624,0.186,0.186,0.029434
12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.333,0.417,0.249,0.030045
15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.067,0.400,0.039946
19,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0.264,0.211,0.475,0.032944
20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.050,0.200,0.043859
14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.284,0.214,0.427,0.099700
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.400,0.200,0.043719
20,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.300,0.068272
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.154,0.385,0.248445
14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0.071,0.356,0.031868
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.062,0.044679
12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.583,0.417,0.000,0.084264
19,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.527,0.369,0.053,0.045966
8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.375,0.500,0.125,0.083128
36,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0.445,0.195,0.334,0.025421
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.091,0.546,0.169328
15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0.134,0.133,0.036367
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.200,0.200,0.040068
8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.375,0.500,0.125,0.082382
12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.249,0.166,0.073780
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0.134,0.400,0.044378
20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.450,0.200,0.200,0.033457
15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0.200,0.268,0.039604
13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.693,0.154,0.154,0.028888
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.539,0.231,0.154,0.049501
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.111,0.222,0.057210
26,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.383,0.076,0.306,0.034346
19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0.159,0.211,0.049554
18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.167,0.279,0.044175
12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.583,0.166,0.250,0.033871
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,0.168,0.223,0.063493
14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.641,0.071,0.285,0.037358
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0.236,0.295,0.038996
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.250,0.417,0.083,0.080669
37,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0.486,0.162,0.243,0.025320
19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.370,0.159,0.422,0.028517
15,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0.134,0.268,0.042650
18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0.168,0.167,0.029293
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.236,0.177,0.412,0.047000
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0.111,0.222,0.036977
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0.182,0.546,0.151166
23,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0.434,0.173,0.347,0.028880
14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0.285,0.285,0.048887
15,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.201,0.130924
11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.364,0.273,0.364,0.044827
13,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.385,0.385,0.231,0.041865
16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0.187,0.312,0.038618
12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.167,0.416,0.416,0.067702
23,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.390,0.347,0.260,0.047066
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.231,0.308,0.046673
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0.124,0.248,0.042103
14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.571,0.357,0.000,0.033916
17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.530,0.118,0.236,0.027471
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.125,0.375,0.375,0.152803
15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.267,0.334,0.030635
15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.067,0.201,0.028488
16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0.062,0.374,0.027394
21,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.381,0.191,0.287,0.026580
17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.354,0.294,0.295,0.042402
14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.572,0.142,0.214,0.038195
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0.154,0.308,0.036998
13,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.308,0.462,0.231,0.043618
16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.312,0.062,0.437,0.050358
10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.300,0.300,0.044009
13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.616,0.154,0.154,0.044671
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.357,0.071,0.284,0.061547
10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.200,0.300,0.400,0.052274
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0.118,0.118,0.027259
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0.142,0.427,0.052625
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.222,0.222,0.045299
18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.280,0.112,0.613,0.036226
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.111,0.666,0.076408
18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.557,0.223,0.222,0.032309
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.250,0.048247
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.273,0.455,0.182,0.069328
18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.334,0.279,0.334,0.046943
20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.600,0.050,0.100,0.031845
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0.186,0.187,0.034288
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0.249,0.249,0.052808
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.455,0.273,0.273,0.044369
9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.222,0.333,0.079646
18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.556,0.223,0.167,0.029985
17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.295,0.294,0.236,0.036451
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.062,0.434,0.048518
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.214,0.356,0.051806
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.154,0.462,0.073989
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.250,0.375,0.250,0.122476
17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.236,0.471,0.038370
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0.267,0.400,0.048850
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.182,0.273,0.063319
10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.100,0.063739
8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.250,0.071229
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.364,0.364,0.273,0.058784
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.077,0.462,0.050392
17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.472,0.236,0.295,0.034671
12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.333,0.416,0.250,0.044782
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.182,0.364,0.063612
15,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.400,0.334,0.134,0.038386
15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.401,0.400,0.201,0.025426
13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.385,0.231,0.308,0.083886
15,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.401,0.267,0.334,0.043311
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.300,0.500,0.100,0.049430
14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.285,0.142,0.028364
15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.134,0.534,0.060741
22,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0.090,0.454,0.031683
10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.100,0.600,0.300,0.062091
12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.166,0.333,0.070096
18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.280,0.223,0.445,0.031851
30,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0.535,0.267,0.133,0.024410
12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.250,0.333,0.033584
14,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.429,0.285,0.142,0.038193
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.417,0.250,0.333,0.039063
12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.249,0.166,0.037476
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.142,0.428,0.428,0.058044
27,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0.481,0.222,0.185,0.024681
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416,0.166,0.333,0.076390
12,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.416,0.333,0.166,0.045456
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.062,0.373,0.046930
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.166,0.499,0.052228
