"error" "CIDH920105.lag3" "CIDH920105.lag5" "CHOC760101.lag2" "CHOC760101.lag5" "BIGC670101.lag3" "BIGC670101.lag4"
0.626888018973055 0.0952606219622445 0.268361311480536 -0.090313126638901 0.73875263509692 0.0636661917553118 -0.51683502285777
0.895312332254651 0.334517608085076 -0.451968856774772 -0.0388924455825862 0.679897567221509 0.144148183809775 -0.219011472014807
0.502765817979467 0.341253454261513 -0.0416400581823874 0.336920329691751 0.13523463634875 0.290932318496722 0.159949315073396
0.355489771878633 0.59628521978575 -0.0291175123961305 -0.0124453414059872 0.469223007063572 0.56403470597835 -0.499279225371268
0.36055936399513 0.235024303211716 -0.38452292562962 -0.0279213659147867 0.322596856725146 -0.26920966995023 -0.00301191741881663
0.604851930656807 -0.125830119833507 -0.190455643210174 -0.393278538812785 0.27603500761035 -0.24262324850104 0.0903460990390156
0.47075035270186 -0.0714602680636892 0.231758633610522 0.0144065556436681 -0.064862542955327 -0.242206990651532 -0.242254158613219
0.338647071844169 -0.188142901924255 -0.323926192469767 -0.0325765655950021 -0.153174724102653 0.0425311127252386 0.243830853713496
0.321478629187524 -0.203599313859072 0.520533938786289 -0.159552594785755 0.118862570935109 -0.346139478368715 -0.130183079007416
0.318734014111947 -0.234821556740362 0.0378049903263812 -0.0373425276747493 -0.306863979429378 -0.0228330417335978 -0.0294843543972612
0.344332510676292 0.557754871060899 -0.266780499370295 -0.109772587584511 0.1474229519712 0.376853136989045 -0.65770015137888
0.356665023911218 -0.225667471767086 0.0350804514588056 0.0505023111027261 0.205807870084825 -0.0292408185029662 -0.250270845301839
0.302305565074634 0.0600042139551022 -0.123204819746904 -0.515470961444607 -0.197118513095819 -0.0844876434888833 0.181335284951042
0.293402288540232 0.489327113718335 -0.345105941814338 0.068282343531294 -0.118209299316608 0.000180555550365897 -0.0112700975901526
0.274052365263781 0.268627435053836 -0.490192520686904 -0.198249636067261 -0.019091500926061 -0.152867830572576 0.00477293537226402
0.278152044359227 0.148131576193362 -0.529481540873236 0.224176716141002 -0.235794005102041 -0.128084176285235 -0.306626647593056
0.248512693872337 0.540878643016886 -0.647730472956183 -0.308959845002468 0.125888006686167 -0.20561859358592 0.440520185076766
0.286883658069602 0.00402687873479498 0.199322095087599 0.0897303486831773 0.201994319585082 -0.0359581132711546 -0.357315914258642
0.297665845355202 -0.181825048850049 -0.110057759275801 0.166669598874031 -0.257658235708076 0.314854979975303 -0.107863862298619
0.247869764809458 0.0597142309913461 -0.312789098127495 -0.175999999999999 0.128221771467207 -0.148563751254386 0.251140319169894
0.263859090149929 -0.267468740862038 -0.14303036727294 -0.0432309859981807 0.301915159832096 0.0467334293975902 -0.271461016922269
0.236188871060216 0.136694471919644 0.0820150175226818 -0.265252876639015 -0.37614981937383 -0.13925741258593 0.143518728072848
0.273788031219709 -0.310532473479915 0.534395896573711 0.256511261470016 0.209717569482145 -0.211894349208859 -0.0955629236715507
